mouseSYM	humanSYM
Ighv5-12-4	IGHV3-9
Ighv5-12-4	IGHV3OR16-10
Ighv5-12-4	IGHV3OR16-8
Ighv5-15	IGHV3-7
Ighv5-16	IGHV3-16
Ighv5-16	IGHV3OR16-12
Ighv5-16	IGHV3OR16-17
Ighv5-16	IGHV3OR16-9
Ighv5-17	IGHV3-11
Ighv5-17	IGHV3-13
Ighv5-17	IGHV3-21
Ighv5-17	IGHV3-30
Ighv5-17	IGHV3-30-3
Ighv5-17	IGHV3-30-5
Ighv5-17	IGHV3-33
Ighv5-17	IGHV3-35
Ighv5-17	IGHV3-48
Ighv5-17	IGHV3-7
Ighv5-17	IGHV3OR16-13
Ighv5-4	IGHV3-13
Ighv5-4	IGHV3-20
Ighv5-4	IGHV3-23
Ighv5-4	IGHV3-30
Ighv5-4	IGHV3-30-3
Ighv5-4	IGHV3-30-5
Ighv5-4	IGHV3-33
Ighv5-4	IGHV3-35
Ighv5-4	IGHV3-38
Ighv5-4	IGHV3-38-3
Ighv5-4	IGHV3-43
Ighv5-4	IGHV3-53
Ighv5-4	IGHV3-64
Ighv5-4	IGHV3-64D
Ighv5-4	IGHV3-66
Ighv5-4	IGHV3-74
Ighv5-4	IGHV3-9
Ighv5-4	IGHV3OR16-10
Ighv5-4	IGHV3OR16-8
Ighv5-6	IGHV3-13
Ighv5-6	IGHV3-20
Ighv5-6	IGHV3-23
Ighv5-6	IGHV3-30
Ighv5-6	IGHV3-30-3
Ighv5-6	IGHV3-30-5
Ighv5-6	IGHV3-33
Ighv5-6	IGHV3-35
Ighv5-6	IGHV3-38
Ighv5-6	IGHV3-38-3
Ighv5-6	IGHV3-43
Ighv5-6	IGHV3-53
Ighv5-6	IGHV3-64
Ighv5-6	IGHV3-64D
Ighv5-6	IGHV3-66
Ighv5-6	IGHV3-74
Ighv5-6	IGHV3-9
Ighv5-6	IGHV3OR16-10
Ighv5-6	IGHV3OR16-8
Ighv5-9	IGHV3-13
Ighv5-9	IGHV3-20
Ighv5-9	IGHV3-23
Ighv5-9	IGHV3-30
Ighv5-9	IGHV3-30-3
Ighv5-9	IGHV3-30-5
Ighv5-9	IGHV3-33
Ighv5-9	IGHV3-35
Ighv5-9	IGHV3-38
Ighv5-9	IGHV3-38-3
Ighv5-9	IGHV3-43
Ighv5-9	IGHV3-53
Ighv5-9	IGHV3-64
Ighv5-9	IGHV3-64D
Ighv5-9	IGHV3-66
Ighv5-9	IGHV3-74
Ighv5-9	IGHV3-9
Ighv5-9	IGHV3OR16-10
Ighv5-9	IGHV3OR16-8
Ighv5-9-1	IGHV3-23
Ighv5-9-1	IGHV3-35
Ighv5-9-1	IGHV3-38
Ighv5-9-1	IGHV3-38-3
Ighv5-9-1	IGHV3-53
Ighv5-9-1	IGHV3-64
Ighv5-9-1	IGHV3-64D
Ighv5-9-1	IGHV3-66
Ighv6-4	IGHV3-73
Ighv6-5	IGHV3-73
Ighv6-6	IGHV3-73
Ighv6-7	IGHV3-73
Ighv7-1	AC136616.2
Ighv7-1	IGHV3OR15-7
Ighv7-1	IGHV3-15
Ighv7-1	IGHV3-49
Ighv7-1	IGHV3-72
Ighv7-1	IGHV3-73
Ighv7-2	AC136616.2
Ighv7-2	IGHV3OR15-7
Ighv7-2	IGHV3-15
Ighv7-2	IGHV3-49
Ighv7-2	IGHV3-72
Ighv7-2	IGHV3-73
Ighv7-3	AC136616.2
Ighv7-3	IGHV3OR15-7
Ighv7-3	IGHV3-15
Ighv7-3	IGHV3-49
Ighv7-3	IGHV3-72
Ighv7-3	IGHV3-73
Ighv7-4	AC136616.2
Ighv7-4	IGHV3OR15-7
Ighv7-4	IGHV3-15
Ighv7-4	IGHV3-49
Ighv7-4	IGHV3-72
Ighv7-4	IGHV3-73
Ighv8-11	IGHV2OR16-5
Ighv8-11	IGHV2-5
Ighv8-11	IGHV2-26
Ighv8-11	IGHV2-70D
Ighv8-11	IGHV2-70
Ighv8-12	IGHV2OR16-5
Ighv8-12	IGHV2-5
Ighv8-12	IGHV2-26
Ighv8-12	IGHV2-70D
Ighv8-12	IGHV2-70
Ighv8-13	IGHV2OR16-5
Ighv8-13	IGHV2-5
Ighv8-13	IGHV2-26
Ighv8-13	IGHV2-70D
Ighv8-13	IGHV2-70
Ighv8-2	IGHV2OR16-5
Ighv8-2	IGHV2-5
Ighv8-2	IGHV2-26
Ighv8-2	IGHV2-70D
Ighv8-2	IGHV2-70
Ighv8-4	IGHV2OR16-5
Ighv8-4	IGHV2-5
Ighv8-4	IGHV2-26
Ighv8-4	IGHV2-70D
Ighv8-4	IGHV2-70
Ighv8-5	IGHV2OR16-5
Ighv8-5	IGHV2-5
Ighv8-5	IGHV2-26
Ighv8-5	IGHV2-70D
Ighv8-5	IGHV2-70
Ighv8-6	IGHV2OR16-5
Ighv8-6	IGHV2-5
Ighv8-6	IGHV2-26
Ighv8-6	IGHV2-70D
Ighv8-6	IGHV2-70
Ighv8-8	IGHV2OR16-5
Ighv8-8	IGHV2-5
Ighv8-8	IGHV2-26
Ighv8-8	IGHV2-70D
Ighv8-8	IGHV2-70
Ighv8-9	IGHV2OR16-5
Ighv8-9	IGHV2-5
Ighv8-9	IGHV2-26
Ighv8-9	IGHV2-70D
Ighv8-9	IGHV2-70
Ighv9-1	IGHV7-4-1
Ighv9-1	IGHV7-81
Ighv9-2	IGHV7-4-1
Ighv9-2	IGHV7-81
Ighv9-3	IGHV7-4-1
Ighv9-3	IGHV7-81
Ighv9-4	IGHV7-4-1
Ighv9-4	IGHV7-81
Igip	IGIP
Igkc	IGKC
Igkv1-110	IGKV2-28
Igkv1-110	IGKV2-29
Igkv1-110	IGKV2D-26
Igkv1-110	IGKV2D-28
Igkv1-110	IGKV2D-29
Igkv1-117	IGKV2-28
Igkv1-117	IGKV2-29
Igkv1-117	IGKV2D-26
Igkv1-117	IGKV2D-28
Igkv1-117	IGKV2D-29
Igkv1-122	IGKV2-28
Igkv1-122	IGKV2-29
Igkv1-122	IGKV2D-26
Igkv1-122	IGKV2D-28
Igkv1-122	IGKV2D-29
Igkv1-131	IGKV2-24
Igkv1-131	IGKV2-30
Igkv1-131	IGKV2D-24
Igkv1-131	IGKV2D-30
Igkv1-132	IGKV2-24
Igkv1-132	IGKV2-30
Igkv1-132	IGKV2D-24
Igkv1-132	IGKV2D-30
Igkv1-133	IGKV2-24
Igkv1-133	IGKV2-30
Igkv1-133	IGKV2D-24
Igkv1-133	IGKV2D-30
Igkv1-135	IGKV2-24
Igkv1-135	IGKV2-30
Igkv1-135	IGKV2D-24
Igkv1-135	IGKV2D-30
Igkv1-35	IGKV2-24
Igkv1-35	IGKV2-30
Igkv1-35	IGKV2D-24
Igkv1-35	IGKV2D-30
Igkv12-38	IGKV1-13
Igkv12-38	IGKV1-27
Igkv12-38	IGKV1-33
Igkv12-38	IGKV1-39
Igkv12-38	IGKV1-8
Igkv12-38	IGKV1D-13
Igkv12-38	IGKV1D-33
Igkv12-38	IGKV1D-43
Igkv12-38	IGKV1D-8
Igkv12-38	IGKV1OR2-108
Igkv12-41	IGKV1-13
Igkv12-41	IGKV1-33
Igkv12-41	IGKV1-39
Igkv12-41	IGKV1-8
Igkv12-41	IGKV1D-13
Igkv12-41	IGKV1D-33
Igkv12-41	IGKV1D-39
Igkv12-41	IGKV1D-43
Igkv12-41	IGKV1D-8
Igkv12-41	IGKV1OR2-108
Igkv12-44	IGKV1-13
Igkv12-44	IGKV1-27
Igkv12-44	IGKV1-33
Igkv12-44	IGKV1-39
Igkv12-44	IGKV1-8
Igkv12-44	IGKV1D-13
Igkv12-44	IGKV1D-33
Igkv12-44	IGKV1D-43
Igkv12-44	IGKV1D-8
Igkv12-44	IGKV1OR2-108
Igkv12-46	IGKV1-8
Igkv12-46	IGKV1D-43
Igkv12-47	IGKV6-21
Igkv12-47	IGKV6D-21
Igkv12-47	IGKV6D-41
Igkv12-98	IGKV1-27
Igkv12-98	IGKV1D-43
Igkv13-84	IGKV1-27
Igkv13-84	IGKV1-33
Igkv13-84	IGKV1D-33
Igkv13-85	IGKV1-27
Igkv13-85	IGKV1-33
Igkv13-85	IGKV1D-33
Igkv14-111	IGKV1-27
Igkv14-111	IGKV1-33
Igkv14-111	IGKV1-37
Igkv14-111	IGKV1D-33
Igkv14-111	IGKV1D-37
Igkv14-111	IGKV1D-43
Igkv14-126	IGKV1-27
Igkv14-126	IGKV1-33
Igkv14-126	IGKV1-37
Igkv14-126	IGKV1D-33
Igkv14-126	IGKV1D-37
Igkv14-126	IGKV1D-43
Igkv15-103	IGKV1-5
Igkv15-103	IGKV1-6
Igkv15-103	IGKV1-8
Igkv15-103	IGKV1-9
Igkv15-103	IGKV1-12
Igkv15-103	IGKV1-16
Igkv15-103	IGKV1-17
Igkv15-103	IGKV1-37
Igkv15-103	IGKV1-39
Igkv15-103	IGKV1D-39
Igkv15-103	IGKV1D-37
Igkv15-103	IGKV1D-17
Igkv15-103	IGKV1D-16
Igkv15-103	IGKV1D-13
Igkv15-103	IGKV1D-12
Igkv15-103	IGKV1D-42
Igkv15-103	IGKV1D-43
Igkv15-103	IGKV1D-8
Igkv15-103	IGKC
Igkv15-103	IGKV1-27
Igkv15-103	IGKV1-33
Igkv15-103	IGKV1D-33
Igkv15-103	IGKV1OR2-108
Igkv16-104	IGKV1-33
Igkv16-104	IGKV1-37
Igkv16-104	IGKV1D-33
Igkv16-104	IGKV1D-37
Igkv16-104	IGKV1OR2-108
Igkv17-121	IGKV5-2
Igkv17-127	IGKV5-2
Igkv18-36	IGKV3OR2-268
Igkv18-36	IGKV3-7
Igkv18-36	IGKV3-11
Igkv18-36	IGKV3-15
Igkv18-36	IGKV3-20
Igkv18-36	IGKV3D-20
Igkv18-36	IGKV3D-15
Igkv18-36	IGKV3D-11
Igkv18-36	IGKV3D-7
Igkv2-109	IGKV2-28
Igkv2-109	IGKV2-40
Igkv2-109	IGKV2D-40
Igkv2-109	IGKV2D-29
Igkv2-109	IGKV2D-28
Igkv2-109	IGKV2-29
Igkv2-109	IGKV2D-26
Igkv2-112	IGKV2-30
Igkv2-112	IGKV2D-30
Igkv2-137	IGKV2-30
Igkv2-137	IGKV2D-30
Igkv2-137	IGKV2-29
Igkv2-137	IGKV2D-29
Igkv20-101-2	IGKV1OR2-108
Igkv3-1	IGKV3-11
Igkv3-1	IGKV3-15
Igkv3-1	IGKV3-20
Igkv3-1	IGKV3-7
Igkv3-1	IGKV3D-11
Igkv3-1	IGKV3D-15
Igkv3-1	IGKV3D-20
Igkv3-1	IGKV3D-7
Igkv3-1	IGKV3OR2-268
Igkv3-10	IGKV3-11
Igkv3-10	IGKV3-15
Igkv3-10	IGKV3-20
Igkv3-10	IGKV3-7
Igkv3-10	IGKV3D-11
Igkv3-10	IGKV3D-15
Igkv3-10	IGKV3D-20
Igkv3-10	IGKV3D-7
Igkv3-10	IGKV3OR2-268
Igkv3-12	IGKV3-11
Igkv3-12	IGKV3-15
Igkv3-12	IGKV3-20
Igkv3-12	IGKV3-7
Igkv3-12	IGKV3D-11
Igkv3-12	IGKV3D-15
Igkv3-12	IGKV3D-20
Igkv3-12	IGKV3D-7
Igkv3-12	IGKV3OR2-268
Igkv3-2	IGKV3-11
Igkv3-2	IGKV3-15
Igkv3-2	IGKV3-20
Igkv3-2	IGKV3-7
Igkv3-2	IGKV3D-11
Igkv3-2	IGKV3D-15
Igkv3-2	IGKV3D-20
Igkv3-2	IGKV3D-7
Igkv3-2	IGKV3OR2-268
Igkv3-3	IGKV3-11
Igkv3-3	IGKV3-15
Igkv3-3	IGKV3-20
Igkv3-3	IGKV3-7
Igkv3-3	IGKV3D-11
Igkv3-3	IGKV3D-15
Igkv3-3	IGKV3D-20
Igkv3-3	IGKV3D-7
Igkv3-3	IGKV3OR2-268
Igkv3-4	IGKV3-11
Igkv3-4	IGKV3-15
Igkv3-4	IGKV3-20
Igkv3-4	IGKV3-7
Igkv3-4	IGKV3D-11
Igkv3-4	IGKV3D-15
Igkv3-4	IGKV3D-20
Igkv3-4	IGKV3D-7
Igkv3-4	IGKV3OR2-268
Igkv3-5	IGKV3-11
Igkv3-5	IGKV3-15
Igkv3-5	IGKV3-20
Igkv3-5	IGKV3-7
Igkv3-5	IGKV3D-11
Igkv3-5	IGKV3D-15
Igkv3-5	IGKV3D-20
Igkv3-5	IGKV3D-7
Igkv3-5	IGKV3OR2-268
Igkv3-7	IGKV3-11
Igkv3-7	IGKV3-15
Igkv3-7	IGKV3-20
Igkv3-7	IGKV3-7
Igkv3-7	IGKV3D-11
Igkv3-7	IGKV3D-15
Igkv3-7	IGKV3D-20
Igkv3-7	IGKV3D-7
Igkv3-7	IGKV3OR2-268
Igkv3-9	IGKV3-11
Igkv3-9	IGKV3-15
Igkv3-9	IGKV3-20
Igkv3-9	IGKV3-7
Igkv3-9	IGKV3D-11
Igkv3-9	IGKV3D-15
Igkv3-9	IGKV3D-20
Igkv3-9	IGKV3D-7
Igkv3-9	IGKV3OR2-268
Igkv5-37	IGKV6-21
Igkv5-37	IGKV6D-21
Igkv5-37	IGKV6D-41
Igkv5-39	IGKV6-21
Igkv5-39	IGKV6D-21
Igkv5-39	IGKV6D-41
Igkv5-43	IGKV6-21
Igkv5-43	IGKV6D-21
Igkv5-43	IGKV6D-41
Igkv5-45	IGKV6-21
Igkv5-45	IGKV6D-21
Igkv5-45	IGKV6D-41
Igkv5-48	IGKV6-21
Igkv5-48	IGKV6D-21
Igkv5-48	IGKV6D-41
Igkv6-13	IGKV4-1
Igkv6-14	IGKV4-1
Igkv6-15	IGKV4-1
Igkv6-17	IGKV4-1
Igkv6-20	IGKV4-1
Igkv6-23	IGKV4-1
Igkv6-25	IGKV4-1
Igkv6-29	IGKV4-1
Igkv6-32	IGKV4-1
Igkv7-33	IGKV4-1
Igkv8-16	IGKV4-1
Igkv8-18	IGKV4-1
Igkv8-19	IGKV4-1
Igkv8-21	IGKV4-1
Igkv8-24	IGKV4-1
Igkv8-26	IGKV4-1
Igkv8-27	IGKV4-1
Igkv8-28	IGKV4-1
Igkv8-30	IGKV4-1
Igkv8-34	IGKV4-1
Igkv9-123	IGKV1-13
Igkv9-123	IGKV1-16
Igkv9-123	IGKV1-17
Igkv9-123	IGKV1-33
Igkv9-123	IGKV1-5
Igkv9-123	IGKV1-6
Igkv9-123	IGKV1-9
Igkv9-123	IGKV1D-13
Igkv9-123	IGKV1D-17
Igkv9-123	IGKV1D-33
Igkv9-123	IGKV1OR2-108
Iglc1	IGLL5
Iglc1	IGLC1
Iglc1	IGLC2
Iglc1	IGLC3
Iglc1	IGLC7
Iglc1	IGLL1
Iglc1	IGLC6
Iglc2	IGLL5
Iglc2	IGLC1
Iglc2	IGLC2
Iglc2	IGLC3
Iglc2	IGLC7
Iglc2	IGLL1
Iglc2	IGLC6
Iglc3	IGLL5
Iglc3	IGLC1
Iglc3	IGLC2
Iglc3	IGLC3
Iglc3	IGLC7
Iglc3	IGLL1
Iglc4	IGLL5
Iglc4	IGLC1
Iglc4	IGLC2
Iglc4	IGLC3
Iglc4	IGLC7
Iglc4	IGLL1
Iglc4	IGLC6
Igll1	IGLL1
Igll1	IGLL5
Iglon5	IGLON5
Iglv1	IGLV7-43
Iglv1	IGLV7-46
Iglv1	IGLV8-61
Iglv2	IGLV7-43
Iglv2	IGLV7-46
Iglv2	IGLV8-61
Iglv3	IGLV4-69
Iglv3	IGLV4-60
Iglv3	IGLV4-3
Igsf1	IGSF1
Igsf10	IGSF10
Igsf11	IGSF11
Igsf21	IGSF21
Igsf23	IGSF23
Igsf3	IGSF3
Igsf5	IGSF5
Igsf6	IGSF6
Igsf8	IGSF8
Igsf9	IGSF9
Igsf9b	IGSF9B
Igtp	IRGM
Ihh	IHH
Iho1	IHO1
Ik	IK
Ikbip	IKBIP
Ikbkb	IKBKB
Ikbke	IKBKE
Ikbkg	IKBKG
Ikzf1	IKZF1
Ikzf2	IKZF2
Ikzf3	IKZF3
Ikzf4	IKZF4
Ikzf5	IKZF5
Il10	IL10
Il10ra	IL10RA
Il10rb	AP000295.1
Il10rb	IL10RB
Il11	IL11
Il11ra1	AL162231.3
Il11ra1	IL11RA
Il11ra2	AL162231.3
Il11ra2	IL11RA
Il11ra3	IL11RA
Il12a	IL12A
Il12b	IL12B
Il12rb1	IL12RB1
Il12rb2	IL12RB2
Il13	IL13
Il13ra1	IL13RA1
Il13ra2	IL13RA2
Il15	IL15
Il15ra	IL15RA
Il16	IL16
Il17a	IL17A
Il17b	IL17B
Il17c	IL17C
Il17d	IL17D
Il17f	IL17F
Il17ra	IL17RA
Il17rb	IL17RB
Il17rc	IL17RC
Il17rd	IL17RD
Il17re	IL17RE
Il18	IL18
Il18bp	IL18BP
Il18r1	IL18R1
Il18rap	IL18RAP
Il19	IL19
Il1a	IL1A
Il1b	IL1B
Il1f10	IL1F10
Il1f5	IL36RN
Il1f6	IL36A
Il1f8	IL36B
Il1f9	IL36G
Il1r1	IL1R1
Il1r2	IL1R2
Il1rap	IL1RAP
Il1rapl1	IL1RAPL1
Il1rapl2	IL1RAPL2
Il1rl1	IL1RL1
Il1rl2	IL1RL2
Il1rn	IL1RN
Il2	IL2
Il20	IL20
Il20ra	IL20RA
Il20rb	IL20RB
Il21	IL21
Il21r	IL21R
Il22	IL22
Il22b	IL22
Il22ra1	IL22RA1
Il22ra2	IL22RA2
Il23a	IL23A
Il23r	IL23R
Il24	IL24
Il25	IL25
Il27	IL27
Il27ra	IL27RA
Il2ra	IL2RA
Il2rb	IL2RB
Il2rg	AL590764.2
Il2rg	IL2RG
Il3	IL3
Il31	IL31
Il31ra	IL31RA
Il33	IL33
Il34	IL34
Il36a	IL36A
Il36b	IL36B
Il36g	IL36G
Il36rn	IL36RN
Il3ra	IL3RA
Il4	IL4
Il4i1	IL4I1
Il4i1b	IL4I1
Il4ra	IL4R
Il5	IL5
Il5ra	IL5RA
Il6	IL6
Il6ra	IL6R
Il6st	IL6ST
Il7	IL7
Il7r	IL7R
Il9	IL9
Il9r	IL9R
Ildr1	ILDR1
Ildr2	ILDR2
Ilf2	ILF2
Ilf3	ILF3
Ilk	ILK
Ilkap	ILKAP
Ilrun	ILRUN
Iltifb	IL22
Ilvbl	ILVBL
Immp1l	IMMP1L
Immp2l	IMMP2L
Immt	IMMT
Imp3	IMP3
Imp4	IMP4
Impa1	IMPA1
Impa2	IMPA2
Impact	IMPACT
Impad1	BPNT2
Impdh1	IMPDH1
Impdh2	IMPDH2
Impdh2-ps	IMPDH2
Impg1	IMPG1
Impg2	IMPG2
Ina	INA
Inafm1	INAFM1
Inafm2	INAFM2
Inava	INAVA
Inca1	INCA1
Incenp	INCENP
Inf2	INF2
Ing1	ING1
Ing2	ING2
Ing3	ING3
Ing4	ING4
Ing5	ING5
Inha	INHA
Inhba	INHBA
Inhbb	INHBB
Inhbc	INHBC
Inhbe	INHBE
Inip	INIP
Inka1	INKA1
Inka2	INKA2
Inmt	INMT
Inmt	INMT-MINDY4
Ino80	INO80
Ino80b	INO80B
Ino80b	INO80B-WBP1
Ino80c	INO80C
Ino80d	INO80D
Ino80e	INO80E
Inpp1	INPP1
Inpp4a	INPP4A
Inpp4b	INPP4B
Inpp5a	INPP5A
Inpp5b	INPP5B
Inpp5d	INPP5D
Inpp5e	INPP5E
Inpp5f	INPP5F
Inpp5j	INPP5J
Inpp5k	INPP5K
Inppl1	INPPL1
Ins1	INS
Ins2	INS
Insc	INSC
Insig1	INSIG1
Insig2	INSIG2
Insl3	INSL3
Insl5	INSL5
Insl6	INSL6
Insm1	INSM1
Insm2	INSM2
Insr	INSR
Insrr	INSRR
Insyn1	INSYN1
Insyn2a	INSYN2A
Insyn2b	INSYN2B
Ints1	INTS1
Ints10	INTS10
Ints11	INTS11
Ints12	INTS12
Ints13	INTS13
Ints14	INTS14
Ints15	INTS15
Ints2	INTS2
Ints3	INTS3
Ints4	INTS4
Ints5	INTS5
Ints6	INTS6
Ints6l	INTS6L
Ints7	INTS7
Ints8	INTS8
Ints9	INTS9
Intu	INTU
Invs	INVS
Ip6k1	IP6K1
Ip6k2	IP6K2
Ip6k3	IP6K3
Ipcef1	IPCEF1
Ipcef1	AL357075.4
Ipmk	IPMK
Ipo11	IPO11
Ipo13	IPO13
Ipo4	IPO4
Ipo5	IPO5
Ipo7	IPO7
Ipo8	IPO8
Ipo9	IPO9
Ipp	IPP
Ippk	IPPK
Iqank1	IQANK1
Iqca	IQCA1
Iqca1	IQCA1
Iqca1l	IQCA1L
Iqcb1	IQCB1
Iqcc	IQCC
Iqcd	IQCD
Iqce	IQCE
Iqcf1	IQCF1
Iqcf2	AC097636.1
Iqcf2	IQCF3
Iqcf2	IQCF2
Iqcf4	IQCF4P
Iqcf5	IQCF5
Iqcf6	IQCF6
Iqcg	IQCG
Iqch	IQCH
Iqcj	IQCJ
Iqck	IQCK
Iqcm	IQCM
Iqcn	IQCN
Iqgap1	IQGAP1
Iqgap2	IQGAP2
Iqgap3	IQGAP3
Iqschfp	IQCJ-SCHIP1
Iqschfp	SCHIP1
Iqsec1	IQSEC1
Iqsec2	IQSEC2
Iqsec3	IQSEC3
Iqub	IQUB
Irag1	IRAG1
Irag2	IRAG2
Irak1	IRAK1
Irak1bp1	IRAK1BP1
Irak2	IRAK2
Irak3	IRAK3
Irak4	IRAK4
Ireb2	IREB2
Irf1	IRF1
Irf2	IRF2
Irf2bp1	IRF2BP1
Irf2bp2	IRF2BP2
Irf2bpl	IRF2BPL
Irf3	IRF3
Irf4	IRF4
Irf5	IRF5
Irf6	IRF6
Irf7	IRF7
Irf8	IRF8
Irf9	IRF9
Irgc	IRGC
Irgc1	IRGC
Irgm1	IRGM
Irgm2	IRGM
Irgq	IRGQ
Irs1	IRS1
Irs2	IRS2
Irs3	IRS3P
Irs4	IRS4
Irx1	IRX1
Irx2	IRX2
Irx3	IRX3
Irx4	IRX4
Irx5	IRX5
Irx6	IRX6
Isca1	ISCA1
Isca2	ISCA2
Iscu	ISCU
Isg15	ISG15
Isg20	ISG20
Isg20l2	ISG20L2
Isl1	ISL1
Isl2	ISL2
Islr	ISLR
Islr2	ISLR2
Ism1	ISM1
Ism2	ISM2
Isoc1	ISOC1
Isoc2a	ISOC2
Isoc2b	ISOC2
Ist1	IST1
Isx	ISX
Isy1	ISY1-RAB43
Isy1	ISY1
Isyna1	ISYNA1
Itch	ITCH
Itfg1	ITFG1
Itfg2	ITFG2
Itga1	ITGA1
Itga10	ITGA10
Itga11	ITGA11
Itga2	ITGA2
Itga2b	ITGA2B
Itga3	ITGA3
Itga4	ITGA4
Itga5	ITGA5
Itga6	ITGA6
Itga7	ITGA7
Itga8	ITGA8
Itga9	ITGA9
Itgad	ITGAD
Itgae	ITGAE
Itgal	ITGAL
Itgam	ITGAM
Itgav	ITGAV
Itgax	ITGAX
Itgb1	ITGB1
Itgb1bp1	ITGB1BP1
Itgb1bp2	ITGB1BP2
Itgb2	ITGB2
Itgb2l	ITGB2
Itgb3	ITGB3
Itgb3	AC068234.1
Itgb3bp	ITGB3BP
Itgb4	ITGB4
Itgb5	ITGB5
Itgb6	ITGB6
Itgb7	ITGB7
Itgb8	ITGB8
Itgbl1	ITGBL1
Itih1	ITIH1
Itih2	ITIH2
Itih3	ITIH3
Itih4	ITIH4
Itih5	ITIH5
Itih6	ITIH6
Itk	ITK
Itln1	ITLN1
Itln1	ITLN2
Itlnb	ITLN1
Itm2a	ITM2A
Itm2b	ITM2B
Itm2c	ITM2C
Itpa	ITPA
Itpk1	ITPK1
Itpka	ITPKA
Itpkb	ITPKB
Itpkc	ITPKC
Itpr1	ITPR1
Itpr2	ITPR2
Itpr3	ITPR3
Itprid1	ITPRID1
Itprid2	ITPRID2
Itprip	ITPRIP
Itpripl1	ITPRIPL1
Itpripl2	ITPRIPL2
Itsn1	ITSN1
Itsn2	ITSN2
Ivd	IVD
Ivl	IVL
Ivns1abp	IVNS1ABP
Iws1	IWS1
Iyd	IYD
Izumo1	IZUMO1
Izumo1r	IZUMO1R
Izumo2	IZUMO2
Izumo3	IZUMO3
Izumo4	IZUMO4
Jade1	JADE1
Jade2	JADE2
Jade3	JADE3
Jag1	JAG1
Jag2	JAG2
Jagn1	JAGN1
Jak1	JAK1
Jak2	JAK2
Jak3	JAK3
Jakmip1	JAKMIP1
Jakmip2	JAKMIP2
Jakmip3	JAKMIP3
Jam2	JAM2
Jam3	JAM3
Jaml	JAML
Jarid2	JARID2
Jazf1	JAZF1
Jcad	JCAD
Jchain	JCHAIN
Jdp2	JDP2
Jhy	JHY
Jkamp	JKAMP
Jmjd1c	JMJD1C
Jmjd4	JMJD4
Jmjd6	JMJD6
Jmjd7	JMJD7
Jmjd8	JMJD8
Jmy	JMY
Josd1	JOSD1
Josd2	JOSD2
Jph1	JPH1
Jph2	JPH2
Jph3	JPH3
Jph4	JPH4
Jpt1	JPT1
Jpt2	JPT2
Jpx	JPX
Jrk	JRK
Jrkl	JRKL
Jsrp1	JSRP1
Jtb	AL358472.7
Jtb	JTB
Jun	JUN
Junb	JUNB
Jund	JUND
Jup	JUP
Kalrn	KALRN
Kank1	KANK1
Kank2	KANK2
Kank3	KANK3
Kank4	KANK4
Kansl1	KANSL1
Kansl1l	KANSL1L
Kansl2	KANSL2
Kansl3	KANSL3
Kantr	KANTR
Kars	KARS1
Kars1	KARS1
Kash5	KASH5
Kat14	KAT14
Kat2a	KAT2A
Kat2b	KAT2B
Kat5	KAT5
Kat6a	KAT6A
Kat6b	KAT6B
Kat7	KAT7
Kat8	KAT8
Katna1	KATNA1
Katnal1	KATNAL1
Katnal2	KATNAL2
Katnb1	KATNB1
Katnbl1	KATNBL1
Katnip	KATNIP
Kazald1	KAZALD1
Kazn	KAZN
Kbtbd11	KBTBD11
Kbtbd12	KBTBD12
Kbtbd13	KBTBD13
Kbtbd2	KBTBD2
Kbtbd3	KBTBD3
Kbtbd4	KBTBD4
Kbtbd6	KBTBD6
Kbtbd6	KBTBD7
Kbtbd7	KBTBD6
Kbtbd7	KBTBD7
Kbtbd8	KBTBD8
Kcmf1	KCMF1
Kcna1	KCNA1
Kcna10	KCNA10
Kcna2	KCNA2
Kcna3	KCNA3
Kcna4	KCNA4
Kcna5	KCNA5
Kcna6	KCNA6
Kcna7	KCNA7
Kcnab1	KCNAB1
Kcnab2	KCNAB2
Kcnab3	KCNAB3
Kcnb1	KCNB1
Kcnb2	KCNB2
Kcnc1	KCNC1
Kcnc2	KCNC2
Kcnc3	KCNC3
Kcnc4	KCNC4
Kcnd1	KCND1
Kcnd2	KCND2
Kcnd3	KCND3
Kcne1	KCNE1B
Kcne1	KCNE1
Kcne1l	KCNE5
Kcne2	KCNE2
Kcne3	KCNE3
Kcne4	KCNE4
Kcne5	KCNE5
Kcnf1	KCNF1
Kcng1	KCNG1
Kcng2	KCNG2
Kcng3	KCNG3
Kcng4	KCNG4
Kcnh1	KCNH1
Kcnh2	KCNH2
Kcnh3	KCNH3
Kcnh4	KCNH4
Kcnh5	KCNH5
Kcnh6	KCNH6
Kcnh7	KCNH7
Kcnh8	KCNH8
Kcnip1	KCNIP1
Kcnip2	KCNIP2
Kcnip3	KCNIP3
Kcnip4	KCNIP4
Kcnj1	KCNJ1
Kcnj10	KCNJ10
Kcnj11	KCNJ11
Kcnj12	KCNJ12
Kcnj12	KCNJ18
Kcnj13	KCNJ13
Kcnj14	KCNJ14
Kcnj15	KCNJ15
Kcnj16	KCNJ16
Kcnj2	KCNJ2
Kcnj3	KCNJ3
Kcnj4	KCNJ4
Kcnj5	KCNJ5
Kcnj6	KCNJ6
Kcnj8	KCNJ8
Kcnj9	KCNJ9
Kcnk1	KCNK1
Kcnk10	KCNK10
Kcnk12	KCNK12
Kcnk13	KCNK13
Kcnk15	KCNK15
